Tempo Trilateração (s);Tempo distancia 0(s);Tempo distancia 1(s);Tempo distancia 2(s);Tempo distancia 3(s);Tempo distancia 4(s);Tempo distancia 5(s);Tempo distancia 6(s);Tempo distancia 7(s);Tempo distancia 8(s);Tempo distancia 9(s);Tempo distancia 10(s);Tempo distancia 11(s);Distancia nó 0(m);Distancia nó 1(m);Distancia nó 2(m);Distancia nó 3(m);Distancia nó 4(m);Distancia nó 5(m);Distancia nó 6(m);Distancia nó 7(m);Distancia nó 8(m);Distancia nó 9(m);Distancia nó 10(m);Distancia nó 11(m);Posição x estimada (m);Posição y estimada (m);Posição x real (m);Posição y real (m)
7.5643e-05;1.78e-07;1.01e-07;7e-08;8.3e-08;1.02e-07;5.2e-08;5.2e-08;5.6e-08;7.2e-08;1.01e-07;8.5e-08;5.4e-08;11.5006;11.6478;11.8238;10.6225;10.1597;10.9038;12.0436;10.7023;10.7341;11.7294;10.7545;10.928;300.105;300.188;300;300
7.078e-05;1.19e-07;1.11e-07;1.03e-07;8.2e-08;8.8e-08;7.5e-08;1.25e-07;1.04e-07;9.4e-08;1.27e-07;9.9e-08;9.9e-08;10.5104;10.654;10.9053;10.687;12.1209;12.0562;10.2628;11.1106;11.8781;10.3171;10.8651;10.7428;299.663;300.1;300;300
8.9061e-05;1.91e-07;1.14e-07;1.55e-07;9.6e-08;9.5e-08;8.9e-08;1e-07;7.8e-08;8.2e-08;5.76e-07;1.21e-07;1.79e-07;11.8076;11.0453;11.9218;11.3942;12.1395;11.2527;10.1564;10.106;10.4574;10.3276;11.0635;11.1175;300.098;300.151;300;300
7.1427e-05;1.18e-07;1.13e-07;8.6e-08;1.11e-07;6.9e-08;6.9e-08;7.2e-08;7.7e-08;6.9e-08;7.3e-08;8.1e-08;9e-08;11.8034;12.108;11.3133;10.0727;12.4144;12.2022;10.1965;11.9269;10.1399;10.7365;10.7089;11.968;300.171;300.622;300;300
6.9153e-05;1.21e-07;7.9e-08;7.4e-08;8.9e-08;8.7e-08;7.7e-08;5.2e-08;6.4e-08;8e-08;7.3e-08;5.2e-08;8.2e-08;10.1914;11.0536;12.3826;11.4125;11.3417;11.3984;11.3939;11.596;10.0517;11.0695;12.2936;12.2192;299.588;300.616;300;300
9.4169e-05;2.52e-07;1.01e-07;6.2e-08;5.1e-08;5.5e-08;5.6e-08;8.4e-08;4.8e-08;6.4e-08;5.6e-08;4.9e-08;5.1e-08;11.4455;11.3136;10.6219;10.5635;12.3982;10.0038;11.2581;10.332;12.3604;10.8051;11.4764;10.6582;299.666;299.571;300;300
9.2467e-05;1.47e-07;8.4e-08;8.3e-08;7e-08;6.5e-08;5.8e-08;4.2e-08;8.2e-08;5.9e-08;6.3e-08;8.3e-08;8.6e-08;10.0796;11.843;10.2946;10.4993;11.4584;11.2584;10.0835;11.4809;11.8358;12.3748;11.7102;10.9148;300.596;299.511;300;300
8.2579e-05;1.55e-07;9e-08;7.1e-08;8.4e-08;9.6e-08;9.6e-08;1.8e-07;7e-08;9e-08;7.3e-08;9.1e-08;5.9e-08;11.9392;11.6949;11.6367;10.2334;10.4792;10.2808;12.1305;10.773;12.1806;11.9296;11.742;10.055;298.917;300.407;300;300
0.000128215;1.58e-07;1.04e-07;7.6e-08;8.5e-08;6.2e-08;9.5e-08;8.2e-08;8.2e-08;7.4e-08;7.3e-08;1.01e-07;8.8e-08;11.4104;10.7353;11.7069;11.188;11.1661;11.8148;12.2432;11.1673;10.3833;12.2339;11.8574;11.1628;299.854;299.791;300;300
9.1983e-05;9.8e-08;9.5e-08;7.3e-08;6.7e-08;7.3e-08;5.1e-08;5.4e-08;7.5e-08;5.6e-08;6.4e-08;6.3e-08;5e-08;11.8715;11.6089;10.3099;11.2059;11.6281;11.3723;10.5818;12.2867;12.2312;10.7817;10.6369;11.2152;299.817;299.612;300;300
