Tempo Trilateração (s),Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Tempo distancia 3(s),Tempo distancia 4(s),Tempo distancia 5(s),Tempo distancia 6(s),Tempo distancia 7(s),Tempo distancia 8(s),Tempo distancia 9(s),Tempo distancia 10(s),Tempo distancia 11(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Distancia nó 3(m),Distancia nó 4(m),Distancia nó 5(m),Distancia nó 6(m),Distancia nó 7(m),Distancia nó 8(m),Distancia nó 9(m),Distancia nó 10(m),Distancia nó 11(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
0.0000808150,0.0000001050,0.0000001050,0.0000001140,0.0000001190,0.0000000980,0.0000001220,0.0000000850,0.0000000940,0.0000000870,0.0000001100,0.0000000930,0.0000000800,1.3655546462,2.2241602459,2.8747098798,3.0818664682,2.2229610761,1.5394342718,1.8689061832,1.9060804480,2.3950419470,2.1384196029,2.2406488311,2.0343916200,300.0674408182,300.6482863001,300.0000000000,300.0000000000
0.0000698280,0.0000001680,0.0000000840,0.0000000950,0.0000000800,0.0000000990,0.0000000930,0.0000000840,0.0000001150,0.0000000980,0.0000000920,0.0000000800,0.0000000730,1.4890691389,1.5862018953,2.2172650194,1.3892382504,1.1392113404,3.2533477542,2.2346529819,1.9984165250,2.6591591025,2.1084403571,2.5623261385,1.1161273211,299.8859128900,301.0965247709,300.0000000000,300.0000000000
0.0000752400,0.0000001690,0.0000001070,0.0000001080,0.0000001020,0.0000001130,0.0000000940,0.0000001000,0.0000000840,0.0000000970,0.0000000520,0.0000000900,0.0000001150,3.2629411129,2.8018603125,2.4334153816,2.3587670595,2.3707587579,1.9978169401,3.1945884324,1.1005381133,1.8167422955,1.6371666131,2.8528250303,3.1822969417,300.6094446998,298.3046698987,300.0000000000,300.0000000000
0.0000723570,0.0000001510,0.0000000690,0.0000000750,0.0000000840,0.0000001300,0.0000000960,0.0000001030,0.0000001090,0.0000001090,0.0000000830,0.0000000790,0.0000000750,3.1430241297,3.2659390375,1.5490276305,3.2161734894,2.6063956299,1.2228534362,1.0363825273,1.1835806242,1.4881697615,1.7900607667,2.6444692720,2.7919671614,298.7986581585,299.3110084057,300.0000000000,300.0000000000
0.0000986370,0.0000001540,0.0000001060,0.0000000910,0.0000000930,0.0000000800,0.0000000750,0.0000000650,0.0000000990,0.0000000770,0.0000001020,0.0000001060,0.0000000580,1.5370359322,2.5551311195,2.0769621490,3.1124452990,2.1039434702,2.7029288013,1.5912983671,2.1600046599,3.1202399029,3.0965562987,2.8156507655,2.9037897482,299.9829468143,300.7041687837,300.0000000000,300.0000000000
0.0000861420,0.0000001830,0.0000000760,0.0000000830,0.0000000830,0.0000000920,0.0000000870,0.0000000530,0.0000000610,0.0000000920,0.0000000970,0.0000000920,0.0000000520,3.2854255472,1.9438542977,1.2069644359,1.4977631202,1.3502652308,2.4681913067,2.3185948702,1.9744331284,1.2639250029,2.9490584093,1.2180567569,1.5502268003,299.1587998889,299.5881525020,300.0000000000,300.0000000000
0.0000917080,0.0000001750,0.0000001130,0.0000000690,0.0000000540,0.0000000640,0.0000000690,0.0000000710,0.0000000590,0.0000000590,0.0000000980,0.0000000550,0.0000000720,3.4455147198,2.3995388338,1.1703897560,2.4286187023,1.2813129655,1.7405950111,3.0638789208,2.8920978423,2.7943655010,2.4439081176,2.8846030309,1.1748866429,298.3495185507,300.2858746148,300.0000000000,300.0000000000
0.0000688960,0.0000001370,0.0000001460,0.0000001130,0.0000001170,0.0000000960,0.0000001060,0.0000001210,0.0000001020,0.0000000880,0.0000001060,0.0000001030,0.0000000750,3.4488124368,1.1089323021,3.3687678505,2.3791529467,2.6291798567,1.2138596624,2.3137981908,1.3760473822,3.1679069037,3.0971558836,1.9162733915,3.0794681286,301.0458718360,300.9242526445,300.0000000000,300.0000000000
0.0000714370,0.0000001290,0.0000000640,0.0000000700,0.0000000760,0.0000000820,0.0000000910,0.0000000610,0.0000000730,0.0000000810,0.0000000850,0.0000000720,0.0000000710,1.9165731840,3.4119379645,1.5400338567,3.2146745271,2.0071105063,1.7076178408,2.5062649489,1.2300484552,1.4018295336,3.1418249598,2.2910139640,1.6893305008,301.2319233948,300.6089747915,300.0000000000,300.0000000000
0.0000819610,0.0000002200,0.0000000890,0.0000001830,0.0000000570,0.0000000930,0.0000001170,0.0000001050,0.0000289370,0.0000000560,0.0000000510,0.0000000550,0.0000001510,1.6833346517,1.4677838744,3.3663695109,1.3898378353,2.5644246857,3.2248674707,3.0632793358,3.3058114344,3.3852564357,1.1509032463,1.0963410189,1.8545161452,299.1084250876,299.7198334400,300.0000000000,300.0000000000
0.0000943180,0.0000001520,0.0000000690,0.0000000790,0.0000000830,0.0000000890,0.0000001050,0.0000000750,0.0000001150,0.0000000920,0.0000000890,0.0000000990,0.0000001480,1.8674072209,2.3782535693,2.0322930728,2.2865170772,1.8581136547,1.1586978502,3.3873549829,3.1652087716,2.1657007166,2.2211623213,1.0576677918,1.1775847750,298.8494543422,300.4027151658,300.0000000000,300.0000000000
0.0001310890,0.0000001770,0.0000000830,0.0000000590,0.0000000710,0.0000000570,0.0000000980,0.0000001810,0.0000000950,0.0000000950,0.0000000760,0.0000000640,0.0000000980,2.1657007166,2.9082866351,1.2432393233,1.3619571367,2.1585056976,1.2564301915,1.7040203313,2.5920055919,2.5407410815,2.3461757763,1.7732723891,2.8393343697,299.9427242558,301.3927648210,300.0000000000,300.0000000000
0.0001155650,0.0000001350,0.0000000810,0.0000000730,0.0000000710,0.0000000850,0.0000000830,0.0000000680,0.0000000710,0.0000000730,0.0000000990,0.0000000980,0.0000001370,3.4224307005,2.9697440889,3.1706050358,1.7465908603,1.4947651956,1.5433315738,2.4310170419,2.8330387281,3.1610116772,2.5638251008,2.0766623566,2.0802598661,298.6112868050,300.2233856616,300.0000000000,300.0000000000
0.0000752620,0.0000001450,0.0000000950,0.0000000770,0.0000000970,0.0000000750,0.0000000760,0.0000000730,0.0000001250,0.0000001120,0.0000000790,0.0000000880,0.0000000780,1.1413098876,1.7543854642,2.7652856326,2.2025751889,2.4211238908,1.6434622548,3.3273964913,1.4701822140,1.1589976426,3.2860251321,3.3852564357,3.2920209813,301.1537793119,301.4410186537,300.0000000000,300.0000000000
