Tempo Trilateração (s);Tempo distancia 0(s);Tempo distancia 1(s);Tempo distancia 2(s);Distancia nó 0(m);Distancia nó 1(m);Distancia nó 2(m);Posição x estimada (m);Posição y estimada (m);Posição x real (m);Posição y real (m)
3.7736e-05;1.39e-07;1.23e-07;1.06e-07;11.7228;10.4559;12.1758;300.702;298.756;300;300
3.4544e-05;1.55e-07;9.5e-08;1.24e-07;10.35;10.5101;11.2116;299.619;300.548;300;300
4.2618e-05;1.85e-07;1.28e-07;1.04e-07;11.6068;12.2987;10.0442;301.259;299.568;300;300
4.2447e-05;2.37e-07;1.21e-07;1.14e-07;10.222;10.2199;11.1244;299.518;300.484;300;300
3.3548e-05;1.81e-07;9.7e-08;1.73e-07;11.7884;12.3733;11.3636;299.647;300.845;300;300
4.0568e-05;1.84e-07;1.12e-07;8.7e-08;10.5722;10.0796;11.2581;299.371;300.12;300;300
3.0483e-05;1.54e-07;1.07e-07;1.02e-07;10.2169;10.3494;12.0627;300.96;301.096;300;300
3.7118e-05;2.22e-07;1.29e-07;1.08e-07;12.0436;10.4631;11.4728;300.554;298.775;300;300
5.0972e-05;1.87e-07;1.22e-07;6.2e-08;12.0954;12.335;11.9905;300.209;300.083;300;300
3.1809e-05;1.9e-07;9.7e-08;1.02e-07;11.8232;10.0481;11.9602;299.919;302.023;300;300
3.0955e-05;1.49e-07;9e-08;7.8e-08;10.9035;10.329;11.4713;300.318;300.927;300;300
3.1533e-05;1.71e-07;8.4e-08;8.6e-08;10.8021;11.28;11.783;299.446;300.026;300;300
4.8212e-05;1.47e-07;7.3e-08;9.8e-08;11.0752;11.7393;12.3553;299.25;299.992;300;300
3.3613e-05;1.05e-07;9.4e-08;7.8e-08;11.0054;11.468;11.4847;300.01;300.529;300;300
3.1108e-05;1.08e-07;6.8e-08;8.5e-08;12.1647;11.81;11.1853;300.213;300.931;300;300
3.0123e-05;1.44e-07;1.03e-07;8.9e-08;11.6128;11.5255;11.6715;300.034;300.135;300;300
3.019e-05;2e-07;7.8e-08;8.6e-08;12.1404;10.0766;10.4112;299.829;297.879;300;300
4.963e-05;1.36e-07;9.3e-08;8.9e-08;11.7794;10.4843;12.0816;300.18;301.622;300;300
3.0505e-05;1.66e-07;1.13e-07;9.3e-08;11.6179;12.3682;12.2915;300.047;300.853;300;300
2.696e-05;1.68e-07;9.5e-08;9.8e-08;11.7708;12.4837;12.043;300.432;300.108;300;300
3.5438e-05;1.81e-07;8.9e-08;8.3e-08;10.2001;10.8672;10.708;299.914;300.617;300;300
3.5155e-05;1.22e-07;1.12e-07;1.07e-07;11.1013;10.1429;11.9117;300.975;299.957;300;300
3.088e-05;1.14e-07;8.1e-08;1.03e-07;11.5303;11.4002;11.4755;299.925;299.989;300;300
4.8669e-05;1.56e-07;1.98e-07;7.4e-08;11.4281;11.1772;10.1171;300.706;299.577;300;300
3.4334e-05;1.26e-07;8.8e-08;1.08e-07;10.7227;12.3173;11.2323;300.28;298.443;300;300
6.2253e-05;1.73e-07;1.05e-07;1.07e-07;12.3035;10.6252;10.565;299.968;298.044;300;300
3.81e-05;1.39e-07;1.04e-07;8.2e-08;10.6228;12.2921;12.096;300.837;298.924;300;300
4.3116e-05;1.67e-07;1.25e-07;9.4e-08;10.8306;11.2734;10.455;300.245;300.644;300;300
3.608e-05;2.11e-07;1.37e-07;1.04e-07;12.311;10.4661;10.0245;301.051;301.503;300;300
5.1019e-05;1.78e-07;3.48e-07;1.2e-07;12.2732;10.9166;10.8726;299.19;300.762;300;300
