Tempo Trilateração (s),Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
0.0000362270,0.0000001300,0.0000000970,0.0000000980,5.3390038845,5.4403337353,6.3538013549,300.0546134336,298.8680305158,300.0000000000,300.0000000000
0.0000284450,0.0000001350,0.0000000990,0.0000000810,5.2223846184,7.0775003485,5.9514798762,299.5926594193,298.1255695727,300.0000000000,300.0000000000
0.0000393860,0.0000001710,0.0000001070,0.0000001100,5.2283804675,5.0964717860,5.8588440067,299.5823985785,300.2814076567,300.0000000000,300.0000000000
0.0000292750,0.0000001350,0.0000001010,0.0000000830,7.4012762031,5.5509571523,5.9787609899,299.7533771166,297.8500464706,300.0000000000,300.0000000000
0.0000306760,0.0000001250,0.0000000850,0.0000001010,5.0332155774,6.8601508164,6.6134216235,300.9202043261,298.7473633085,300.0000000000,300.0000000000
0.0000304120,0.0000001480,0.0000001070,0.0000000650,6.9824661393,6.9428935348,5.1138597486,301.1301635929,298.9249426821,300.0000000000,300.0000000000
0.0000324480,0.0000001410,0.0000001270,0.0000001100,7.3569069193,6.8676456279,7.2501808043,300.3479761475,299.8079196250,300.0000000000,300.0000000000
0.0000354030,0.0000001850,0.0000001090,0.0000000990,6.5609579433,6.4392422054,6.1034746524,299.9208835523,300.5002601824,300.0000000000,300.0000000000
0.0000357030,0.0000001480,0.0000000780,0.0000001180,5.6990546266,7.0079484982,6.0908833692,299.3993759032,301.0625877549,300.0000000000,300.0000000000
0.0000347590,0.0000001480,0.0000001170,0.0000001140,7.0292337627,6.3172266750,7.3500116928,300.4751387214,299.0636068193,300.0000000000,300.0000000000
0.0000297980,0.0000001280,0.0000000730,0.0000000800,7.4408488076,6.3037360144,6.4950036026,300.1223992029,298.5594848791,300.0000000000,300.0000000000
0.0000331740,0.0000001680,0.0000001910,0.0000001370,5.8267662137,5.4454302071,5.7041510984,300.2149247184,299.9264617572,300.0000000000,300.0000000000
0.0000326180,0.0000001440,0.0000001010,0.0000000930,5.0512031248,5.1402414849,7.4132679014,298.5732770772,301.5174658742,300.0000000000,300.0000000000
0.0000327170,0.0000001550,0.0000001250,0.0000000780,5.9826582918,5.3665847907,6.9956570074,300.6573508364,301.3565476286,300.0000000000,300.0000000000
0.0000358840,0.0000001470,0.0000000620,0.0000000870,6.1361520303,6.9872628186,6.0642018404,299.4415260022,300.6462557756,300.0000000000,300.0000000000
0.0000312260,0.0000003340,0.0000001250,0.0000001120,7.1302638211,5.7883927791,6.6176187179,299.1332414403,299.8380199066,300.0000000000,300.0000000000
0.0000326010,0.0000001320,0.0000001200,0.0000001370,6.2638636175,5.4538243959,5.2112922974,299.8706683434,298.9214896557,300.0000000000,300.0000000000
0.0000337900,0.0000001650,0.0000000810,0.0000000910,5.6369975878,6.2788532404,5.0595973137,299.3087763481,300.0736019691,300.0000000000,300.0000000000
0.0000359260,0.0000001790,0.0000001140,0.0000001200,5.2793451854,7.1779308219,5.3530941300,298.8174397351,301.1041471470,300.0000000000,300.0000000000
0.0000344110,0.0000001780,0.0000000930,0.0000000770,6.7956954379,6.7180491913,6.2410793906,299.9475354226,300.6705758751,300.0000000000,300.0000000000
0.0000362170,0.0000002570,0.0000000940,0.0000001050,5.8621417237,5.3354063750,5.8753325919,300.0077413738,300.5975558141,300.0000000000,300.0000000000
0.0000994550,0.0000001230,0.0000001120,0.0000001130,5.4337383012,5.4079561499,5.5428627560,300.0738668906,300.0459146699,300.0000000000,300.0000000000
0.0000464290,0.0000001610,0.0000001020,0.0000001040,6.5837421701,6.7282421349,6.9027213454,300.0961790631,299.6659889621,300.0000000000,300.0000000000
0.0000309890,0.0000001820,0.0000000970,0.0000000860,5.3345069977,7.2034131808,5.6468907389,299.8284794946,297.8283008509,300.0000000000,300.0000000000
0.0000336930,0.0000001280,0.0000001160,0.0000001230,5.9742641030,5.0871782198,6.0072412734,299.9802441928,301.0010007405,300.0000000000,300.0000000000
0.0000511680,0.0000001950,0.0000001580,0.0000001650,5.1279499941,6.1454455965,6.9300024591,300.5735315219,298.4006252277,300.0000000000,300.0000000000
0.0000308470,0.0000001190,0.0000000680,0.0000000640,5.8114767983,6.7525253240,5.2241833731,300.9152253168,300.2671082506,300.0000000000,300.0000000000
0.0000342930,0.0000001600,0.0000000730,0.0000001280,5.1786149195,6.5951342835,7.2357907663,299.5569564102,302.1108179631,300.0000000000,300.0000000000
0.0000444350,0.0000002260,0.0000001470,0.0000001210,6.9629796295,7.2345915965,5.9472827818,300.8484571540,299.5371658706,300.0000000000,300.0000000000
0.0000321850,0.0000001410,0.0000000860,0.0000001020,6.5618573207,6.7992929474,6.0225306888,300.1586206544,300.8373302144,300.0000000000,300.0000000000
