Tempo Trilateração (s);Tempo distancia 0(s);Tempo distancia 1(s);Tempo distancia 2(s);Tempo distancia 3(s);Tempo distancia 4(s);Tempo distancia 5(s);Distancia nó 0(m);Distancia nó 1(m);Distancia nó 2(m);Distancia nó 3(m);Distancia nó 4(m);Distancia nó 5(m);Posição x estimada (m);Posição y estimada (m);Posição x real (m);Posição y real (m)
6.3698e-05;1.53e-07;9.2e-08;7.1e-08;7.5e-08;4.4e-08;5.4e-08;11.6454;11.801;11.6844;11.3567;10.285;11.0767;299.805;299.643;300;300
5.4075e-05;1.45e-07;8.3e-08;5.4e-08;7.7e-08;6e-08;5.2e-08;10.1753;12.2795;11.1025;11.4698;11.2896;12.2456;300.79;300.741;300;300
5.026e-05;1.33e-07;1.04e-07;9.2e-08;1.06e-07;1.55e-07;9.5e-08;10.2295;11.6346;12.3802;11.7537;11.5777;11.337;299.881;299.875;300;300
4.5919e-05;1.86e-07;9.2e-08;1.13e-07;7.2e-08;7e-08;8.8e-08;10.7176;12.2774;11.2899;11.8766;12.0262;11.3522;299.866;299.716;300;300
4.6943e-05;1.39e-07;1.01e-07;7.6e-08;8e-08;1.23e-07;1.11e-07;12.0331;10.3467;12.1731;12.4627;10.1477;11.8511;299.781;299.495;300;300
5.4829e-05;1.53e-07;7.6e-08;5.8e-08;4.8e-08;7.5e-08;1.31e-07;10.7545;10.0514;11.894;10.2568;10.7248;10.0176;300.627;300.02;300;300
7.8363e-05;1.26e-07;9.9e-08;1.08e-07;8.6e-08;8.7e-08;8.1e-08;11.9623;11.4836;12.3886;10.4214;11.9042;11.7717;300.541;300.075;300;300
5.0546e-05;1.62e-07;8.3e-08;1.08e-07;8.4e-08;8.2e-08;7.8e-08;12.0738;10.1345;10.7239;11.3705;10.8186;12.0645;299.346;300.413;300;300
5.8879e-05;1.3e-07;9.4e-08;8.1e-08;8.4e-08;1.03e-07;9e-08;12.3104;10.7703;10.4478;12.3763;12.2777;12.4747;299.821;299.156;300;300
4.6051e-05;1.42e-07;1.04e-07;1.01e-07;7.5e-08;8.7e-08;9.2e-08;11.5417;10.9535;10.3365;10.0035;11.8151;10.5605;299.832;299.728;300;300
4.3543e-05;2.28e-07;2.14e-07;1.21e-07;1.01e-07;8.8e-08;1.01e-07;12.2825;10.6112;10.1396;11.179;11.6251;11.6769;299.592;300.242;300;300
4.8853e-05;2.16e-07;9.5e-08;1.05e-07;9.6e-08;9e-08;1.08e-07;12.1341;11.3558;11.8901;10.493;10.6861;11.4194;299.73;300.093;300;300
5.9517e-05;1.67e-07;9e-08;1.05e-07;1.06e-07;1.27e-07;1.05e-07;10.1489;10.4706;11.22;12.3131;11.5414;12.4768;301.148;299.288;300;300
