Tempo Trilateração (s),Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Tempo distancia 3(s),Tempo distancia 4(s),Tempo distancia 5(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Distancia nó 3(m),Distancia nó 4(m),Distancia nó 5(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
0.0000450520,0.0000001350,0.0000000900,0.0000001020,0.0000000860,0.0000000990,0.0000000930,1.9729341661,2.7110231977,2.3272888515,1.1994696245,1.1002383209,3.0093166934,298.0703452792,298.8039598108,300.0000000000,300.0000000000
0.0000655330,0.0000002170,0.0000001130,0.0000000990,0.0000000950,0.0000001250,0.0000000960,2.6333769511,2.4487047969,2.5059651564,2.6651549516,1.0972403963,1.0234914516,300.4046217335,301.2093868484,300.0000000000,300.0000000000
0.0000463400,0.0000001480,0.0000000980,0.0000000920,0.0000000830,0.0000001090,0.0000000790,2.1234299800,3.1295334691,2.3374817950,2.7817742178,2.2403490386,2.9496579943,299.4662187739,300.4152446418,300.0000000000,300.0000000000
0.0000507260,0.0000001790,0.0000000880,0.0000000790,0.0000000830,0.0000001050,0.0000000910,1.4000307789,2.5485356855,1.2636252105,2.4954724204,1.1461065669,3.1634100168,301.9768903148,300.0795068982,300.0000000000,300.0000000000
0.0000457150,0.0000001270,0.0000000890,0.0000001110,0.0000000870,0.0000001170,0.0000000870,1.1248213024,1.0699592826,3.2167730743,2.3057037945,3.4694981164,2.5623261385,300.2961979059,301.9130303669,300.0000000000,300.0000000000
0.0000651840,0.0000001330,0.0000000620,0.0000000520,0.0000001040,0.0000000730,0.0000001300,3.0431932412,3.0641787132,3.2422554333,1.9594435055,3.4835883620,1.5766085366,297.8254688004,301.0473679665,300.0000000000,300.0000000000
0.0000496340,0.0000001760,0.0000001310,0.0000001040,0.0000000990,0.0000001250,0.0000001090,1.0070028664,3.4044431530,2.9640480322,3.0704743548,1.1452071896,1.0147974703,301.6142215892,301.1767045084,300.0000000000,300.0000000000
0.0000668990,0.0000001520,0.0000000870,0.0000000910,0.0000000560,0.0000000980,0.0000000910,2.8429318792,2.9046891256,1.7037205388,2.4993697223,1.2624260406,2.5350450248,299.5637379948,298.9362367621,300.0000000000,300.0000000000
0.0000439350,0.0000001570,0.0000001020,0.0000000570,0.0000000870,0.0000000970,0.0000001200,3.1595127149,3.3885541528,1.4731801386,2.7254132357,2.3018064925,1.0792528488,298.0131204086,300.1337097804,300.0000000000,300.0000000000
0.0000462120,0.0000001290,0.0000000710,0.0000000970,0.0000001000,0.0000000790,0.0000000610,2.5614267612,1.2330463798,2.7257130281,3.0237067314,1.8134445784,1.5268429886,300.8010791675,300.4270262181,300.0000000000,300.0000000000
0.0000536440,0.0000001720,0.0000000930,0.0000001250,0.0000000870,0.0000000990,0.0000000790,1.1967714923,3.0312015428,1.7747713514,1.6821354818,2.5737182519,2.0742640169,300.2163823421,299.9620523044,300.0000000000,300.0000000000
0.0000508210,0.0000001500,0.0000000810,0.0000000850,0.0000000940,0.0000000820,0.0000000930,3.4335230215,2.8141518032,2.0772619415,2.2886156244,2.9703436739,1.1206242080,300.7360710345,302.3975362817,300.0000000000,300.0000000000
0.0000493250,0.0000001500,0.0000000940,0.0000000850,0.0000000820,0.0000000730,0.0000000860,1.1182258683,1.3259820417,3.1364286956,1.3046967772,1.8853947684,2.4999693073,298.8283782551,300.8335021439,300.0000000000,300.0000000000
0.0000844440,0.0000001900,0.0000001230,0.0000001090,0.0000001200,0.0000001030,0.0000000930,3.4356215687,2.2094704155,1.4698824216,3.1855946587,2.8861019932,2.8786071817,300.5187856982,300.7365989797,300.0000000000,300.0000000000
0.0000449580,0.0000001590,0.0000001010,0.0000000960,0.0000000880,0.0000000990,0.0000000860,1.6014913106,1.4159197791,1.7004228218,2.8902990876,2.2775233034,1.3067953244,300.9823176005,299.7494690947,300.0000000000,300.0000000000
0.0000449360,0.0000001280,0.0000000850,0.0000001060,0.0000000980,0.0000001040,0.0000000810,2.4502037592,2.5701207424,2.3902452676,1.4129218546,2.8750096722,1.2750173239,298.5811925100,300.7071672585,300.0000000000,300.0000000000
0.0000497700,0.0000001300,0.0000000970,0.0000000910,0.0000000890,0.0000000940,0.0000000860,3.2686371696,2.2703282844,1.8632101265,2.9088862200,3.4248290402,2.2061726984,300.0817120497,301.2802379511,300.0000000000,300.0000000000
0.0000462570,0.0000002060,0.0000000890,0.0000000980,0.0000000900,0.0000001080,0.0000000920,2.8219464072,1.3298793437,2.8294412186,3.3040126796,1.0990391510,1.2228534362,301.2027708942,298.9188622075,300.0000000000,300.0000000000
0.0000430930,0.0000001350,0.0000001100,0.0000000840,0.0000001160,0.0000000970,0.0000001010,2.6072950072,2.5965024787,2.6045968751,1.2411407761,1.3394727023,2.6498655363,299.6451453741,300.5535261472,300.0000000000,300.0000000000
0.0000425390,0.0000001350,0.0000001120,0.0000000930,0.0000000930,0.0000000880,0.0000000810,1.3271812116,2.1426166973,1.4884695540,3.0941579590,1.7597817285,1.0558690371,300.1265724607,298.6496631558,300.0000000000,300.0000000000
0.0000392540,0.0000002180,0.0000000710,0.0000000600,0.0000001120,0.0000000810,0.0000000750,1.8116458237,1.1931739828,1.9846260720,2.0146053178,2.3950419470,1.7816665779,299.6530697035,299.5801491524,300.0000000000,300.0000000000
0.0000514100,0.0000001250,0.0000000910,0.0000001050,0.0000001110,0.0000001000,0.0000000940,2.5533323648,1.1841802091,1.5667153855,3.2413560559,2.9109847672,2.9757399381,299.7024600104,300.7757427620,300.0000000000,300.0000000000
0.0000929240,0.0000001830,0.0000000980,0.0000000920,0.0000000840,0.0000001370,0.0000000920,2.0679683753,3.0419940713,1.9789300153,1.8584134471,3.3225998120,1.9420555429,301.9015691758,299.6669299079,300.0000000000,300.0000000000
0.0000644610,0.0000001670,0.0000001190,0.0000001170,0.0000000950,0.0000001300,0.0000001350,1.2336459647,3.0818664682,3.3993466813,2.3242909269,2.0089092611,2.2862172847,299.3237443232,300.5428734563,300.0000000000,300.0000000000
0.0000645060,0.0000001790,0.0000000880,0.0000001520,0.0000001190,0.0000000880,0.0000000910,2.6198862905,3.2644400752,3.0120148255,1.5948958766,1.7870628421,1.0513721502,300.5112667972,301.7928067812,300.0000000000,300.0000000000
0.0000467190,0.0000001730,0.0000000920,0.0000000820,0.0000001050,0.0000000810,0.0000000820,1.6215774053,3.3300946235,3.3465832087,3.4062419078,1.7366977092,2.9361673337,297.8399588984,298.8204343392,300.0000000000,300.0000000000
0.0000588390,0.0000004500,0.0000001200,0.0000001350,0.0000001330,0.0000001160,0.0000001040,1.9507495242,3.4697979089,2.0598739789,2.8792067666,3.3223000196,3.0500884677,300.4350452105,302.1692017295,300.0000000000,300.0000000000
0.0000636220,0.0000001770,0.0000001070,0.0000001370,0.0000001060,0.0000001520,0.0000001350,2.7553924815,1.7013221991,2.8261435016,2.4526020989,1.0960412264,1.0681605279,300.8200863466,301.3399950155,300.0000000000,300.0000000000
0.0000843380,0.0000002100,0.0000000650,0.0000001940,0.0000000690,0.0000000690,0.0000000500,1.2267507381,2.6240833849,1.5001614598,2.7281113678,2.5704205349,1.7387962564,299.5671807065,300.6149070811,300.0000000000,300.0000000000
0.0000514660,0.0000001530,0.0000000950,0.0000000820,0.0000000890,0.0000000760,0.0000000900,2.8896995027,2.3758552296,2.4993697223,2.7844723499,2.6732493480,2.9601507303,300.3190505289,299.6211534428,300.0000000000,300.0000000000
