Tempo Trilateração (s);Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Tempo distancia 3(s),Tempo distancia 4(s),Tempo distancia 5(s),Tempo distancia 6(s),Tempo distancia 7(s),Tempo distancia 8(s),Tempo distancia 9(s),Tempo distancia 10(s),Tempo distancia 11(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Distancia nó 3(m),Distancia nó 4(m),Distancia nó 5(m),Distancia nó 6(m),Distancia nó 7(m),Distancia nó 8(m),Distancia nó 9(m),Distancia nó 10(m),Distancia nó 11(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
4.44e-07,1.9184e-05,5.86e-07,4.66e-07,5.03e-07,4.77e-07,5.1e-07,3.76e-07,4.65e-07,4.58e-07,6.1e-07,7.48e-07,4.44e-07,4.45761,4.57045,5.14487,7.83654,8.48563,5.33607,4.67766,9.94728,4.42413,8.69892,4.93756,8.28488,300.444,301.086,0,0
6.52e-07,1.57e-06,5.77e-07,5.21e-07,5.2e-07,4.68e-07,6.06e-07,4.93e-07,5.744e-06,8.95e-07,6.26e-07,7.61e-07,6.52e-07,4.50349,4.42385,4.59308,4.61785,5.05603,5.94923,4.84715,5.57574,7.3863,5.75926,5.00663,4.75314,299.783,299.911,0,0
4.35e-07,1.163e-06,9.03e-07,5.69e-07,6.35e-07,4.83e-07,4.39e-07,3.85e-07,4.7e-07,4.24e-07,4.8e-07,4.08e-07,4.35e-07,5.20012,4.54409,5.19067,6.81626,5.6417,5.20126,6.83562,8.44686,5.8991,5.06789,7.05964,8.95261,298.374,300.26,0,0
6.69e-07,1.9436e-05,5.63e-07,4.67e-07,4.7e-07,3.76e-07,3.37e-07,3.85e-07,3.41e-07,3.41e-07,3.56e-07,5.88e-07,6.69e-07,4.766,5.64663,6.12788,5.44267,5.44914,7.40145,8.55625,7.81624,6.91136,4.5738,6.39742,4.66001,300.635,300.346,0,0
3.95e-07,1.12e-06,5.73e-07,4.41e-07,3.92e-07,3.96e-07,4.4e-07,3.67e-07,3.86e-07,3.78e-07,4.53e-07,3.2e-07,3.95e-07,7.86067,5.90661,8.0046,5.86563,7.38068,4.93659,4.98425,6.37357,4.67883,4.56955,4.57734,4.89144,299.622,299.68,0,0
4.22e-07,1.084e-06,6.61e-07,4.55e-07,3.88e-07,4.72e-07,4.52e-07,4.07e-07,4.4e-07,4.04e-07,7.65e-07,4.28e-07,4.22e-07,4.47442,6.07465,7.94554,7.94758,8.49136,4.46085,4.68081,4.995,9.17952,6.0196,4.40453,4.63876,299.591,299.603,0,0
3.59e-07,1.093e-06,3.274e-06,4.22e-07,4.8e-07,6.49e-07,4.67e-07,4.62e-07,4.03e-07,4.86e-07,4.08e-07,3.83e-07,3.59e-07,4.46074,4.82036,4.48251,5.5674,5.19247,5.05256,6.96422,4.56983,7.46334,7.15733,5.05703,6.22858,299.852,300.126,0,0
4.44e-07,1.407e-06,6.92e-07,5.95e-07,5.46e-07,5.07e-07,3.96e-07,4.99e-07,4.25e-07,3.64e-07,5.25e-07,4.47e-07,4.44e-07,7.46864,6.59374,5.2184,5.41496,7.94639,5.58645,4.78565,4.94983,7.10009,5.31352,4.41662,4.54778,299.741,299.512,0,0
4.56e-07,1.435e-06,5.57e-07,5.45e-07,1.423e-06,4.38e-07,4.3e-07,4.04e-07,4.47e-07,3.9e-07,7.05e-07,4.69e-07,4.56e-07,7.72549,7.89789,5.10645,4.50755,5.78302,5.39312,5.37884,4.93393,4.41838,7.15236,5.43551,4.75806,299.942,300.455,0,0
3.38e-07,1.9472e-05,8.28e-07,4.45e-07,4.87e-07,7.16e-07,6.63e-07,4.65e-07,4.65e-07,4.33e-07,3.95e-07,3.73e-07,3.38e-07,7.50439,5.3691,6.08264,5.31881,4.41391,4.72276,5.28409,5.16363,5.05794,4.80031,6.66222,6.4931,299.591,299.892,0,0
4.6e-07,1.112e-06,1.082e-06,5.61e-07,5.36e-07,5.1e-07,4.29e-07,5.51e-07,3.97e-07,4.93e-07,4.61e-07,4.78e-07,4.6e-07,6.42056,7.95735,4.8674,4.76159,8.09516,6.55191,6.0172,5.406,4.93865,7.92284,5.04051,9.27644,298.442,299.307,0,0
4.28e-07,1.08e-06,5.7e-07,4.88e-07,7.94e-07,4.62e-07,5.16e-07,4.64e-07,4.22e-07,3.99e-07,5.74e-07,3.39e-07,4.28e-07,5.62313,5.34893,8.64467,6.22648,6.78562,8.21569,5.88148,7.81526,4.48566,4.74968,4.59241,7.79551,300.87,300.237,0,0
4.21e-07,1.9326e-05,8.09e-07,5.73e-07,4.46e-07,4.82e-07,4.82e-07,4.53e-07,4.57e-07,5.16e-07,5.2e-07,4.21e-07,4.21e-07,6.73407,4.78778,7.59068,8.92301,5.32168,4.63359,4.83798,4.84766,5.41173,7.92553,7.50267,5.64129,300.029,299.439,0,0
4.92e-07,9.99e-07,8.19e-07,5.69e-07,5.34e-07,4.57e-07,4.99e-07,4.45e-07,4.6e-07,4.9e-07,4.3e-07,5.01e-07,4.92e-07,6.05025,6.47702,8.05299,4.86355,4.98951,4.57767,6.16094,9.75112,6.61471,9.21227,5.67478,8.02869,299.39,299.327,0,0
5.17e-07,1.9047e-05,5.13e-07,5.07e-07,6.01e-07,2.3749e-05,5.35e-07,5.18e-07,3.41e-07,5.5e-07,4.57e-07,4.42e-07,5.17e-07,6.6819,5.80628,5.70805,9.59171,4.70052,5.59146,4.99213,9.91173,6.01148,5.74888,6.82117,5.54712,300.466,299.537,0,0
5.43e-07,1.076e-06,5.33e-07,4.54e-07,4.9e-07,3.39e-07,3.97e-07,4.39e-07,7.33e-07,3.146e-05,4.71e-07,5.14e-07,5.43e-07,5.81568,6.81456,6.20224,7.89586,6.85287,5.73088,7.06325,5.12391,4.67919,6.36222,5.42476,4.77611,300.182,300.656,0,0
4.5e-07,1.375e-06,5.13e-07,7.79e-07,4.22e-07,5.93e-07,4.39e-07,3.96e-07,3.71e-07,3.82e-07,4.07e-07,4.34e-07,4.5e-07,5.0766,8.06,5.74258,6.25092,5.59198,9.20542,4.78054,7.81627,6.17796,5.40444,6.23013,5.53416,300.627,300.1,0,0
3.99e-07,1.8912e-05,7.31e-07,5.37e-07,5.2e-07,5.1e-07,4.32e-07,4.65e-07,5.02e-07,4.42e-07,5.29e-07,5.79e-07,3.99e-07,5.56625,5.37758,7.29437,4.48201,5.09216,6.38411,5.09986,5.50767,4.67015,8.4257,4.92722,4.42982,300.419,299.242,0,0
5.66e-07,1.593e-06,6.32e-07,4.51e-07,5.99e-07,4.81e-07,4.29e-07,4.59e-07,3.69e-07,4.94e-07,4.8e-07,7.03e-07,5.66e-07,6.2949,4.61901,5.22587,5.6263,8.70876,4.541,5.31024,5.19884,6.5485,7.32111,7.93904,5.40306,299.677,299.785,0,0
4.39e-07,1.222e-06,5.24e-07,2.963e-06,5.93e-07,4.82e-07,5.46e-07,5.44e-07,5.13e-07,4.93e-07,4.68e-07,4.34e-07,4.39e-07,8.43963,9.03042,5.09873,9.05179,4.95644,5.76705,4.71229,5.27923,5.40401,4.89331,4.96642,6.85957,300.052,300.157,0,0
5.09e-07,1.221e-06,5.92e-07,4.95e-07,4.75e-07,4.79e-07,5.53e-07,4.61e-07,5.01e-07,4.32e-07,4.23e-07,3.88e-07,5.09e-07,5.76573,8.58335,4.44613,6.73622,6.36098,7.59789,5.38282,6.4876,9.35108,7.16337,8.67498,4.70112,300.86,298.982,0,0
3.86e-07,1.9292e-05,8.27e-07,4.51e-07,4.57e-07,7.97e-07,3.72e-07,4.11e-07,3.47e-07,3.53e-07,3.74e-07,4.14e-07,3.86e-07,5.46569,9.61196,5.34215,6.24108,5.99664,6.43795,5.1264,6.90273,9.91739,5.39022,4.54504,5.75311,299.944,300.411,0,0
3.89e-07,1.276e-06,8.61e-07,4.83e-07,3.69e-07,4.03e-07,4.87e-07,7.69e-07,3.88e-07,3.81e-07,4.26e-07,3.38e-07,3.89e-07,9.93718,4.42406,7.47824,4.46637,4.86776,8.55033,5.96578,7.53617,9.80787,6.2723,4.99212,6.22582,300.591,299.955,0,0
5.32e-07,1.316e-06,8.21e-07,5.52e-07,4.65e-07,5.2e-07,9.92e-07,5.04e-07,4.81e-07,4.62e-07,7.74e-07,6.17e-07,5.32e-07,5.38216,4.56243,7.40644,5.35132,4.9093,5.85298,9.91167,7.64477,4.48541,4.99689,5.44721,6.39132,299.806,300.001,0,0
4.19e-07,9.73e-07,5.71e-07,4.52e-07,8.14e-07,4.17e-07,4.45e-07,5.13e-07,4.42e-07,4.9e-07,3.62e-07,4.81e-07,4.19e-07,8.63818,5.70932,5.76004,6.7474,6.58207,4.42472,5.56341,4.87184,6.22184,6.84452,7.19638,6.82168,299.947,300.139,0,0
4.82e-07,1.22e-06,6.05e-07,4.33e-07,4.56e-07,6.09e-07,3.79e-07,3.89e-07,4.28e-07,3.59e-07,4.11e-07,3.53e-07,4.82e-07,8.83931,4.67295,4.96492,7.27154,7.94614,5.04424,4.70486,5.15028,6.68511,4.85762,6.83106,5.94393,300.172,300.214,0,0
5.52e-07,1.488e-06,5.23e-07,5.2e-07,4.44e-07,4.41e-07,6.54e-07,7.56e-07,4.77e-07,5.52e-07,5.14e-07,4.11e-07,5.52e-07,4.81771,6.19783,6.09198,4.92416,6.8759,5.4998,6.74575,4.41751,5.39023,5.84234,5.17927,4.6538,299.662,299.933,0,0
5.93e-07,2.4838e-05,1.9803e-05,4.9e-07,4.89e-07,4.07e-07,4.16e-07,4.57e-07,4.22e-07,4.96e-07,7e-07,8.13e-07,5.93e-07,5.58224,5.23902,6.13536,7.15101,4.5261,5.09324,6.60351,6.27977,4.7787,7.01508,9.97383,5.31526,300.535,300.321,0,0
4.1e-07,1.89e-06,4.29e-07,4.23e-07,4.37e-07,4.12e-07,5.14e-07,3.77e-07,4.19e-07,4.22e-07,5.08e-07,4.55e-07,4.1e-07,6.72228,8.43485,4.53399,8.70974,4.42447,5.31939,6.30395,4.90758,6.11647,6.81266,5.90112,6.01585,299.672,299.454,0,0
3.66e-07,1.094e-06,6.05e-07,4.38e-07,5.5e-07,3.53e-07,4.72e-07,4.76e-07,4.4e-07,4.15e-07,4.56e-07,4e-07,3.66e-07,5.62537,4.51344,6.44903,5.12155,6.67026,6.01492,8.11647,5.15615,5.78972,4.93381,5.63026,4.63732,299.595,300.07,0,0
