Tempo Trilateração (s);Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
6.29e-07,1.172e-06,7.11e-07,6.29e-07,3.81094,4.58153,3.61692,299.677,300.467,0,0
5.27e-07,1.9314e-05,5.25e-07,5.27e-07,4.66918,4.53838,4.07242,300.201,299.679,0,0
3.84e-07,1.9292e-05,4.74e-07,3.84e-07,3.86582,3.56914,4.95383,299.41,300.369,0,0
4.85e-07,1.9081e-05,4.81e-07,4.85e-07,4.78235,4.78417,4.12278,300.294,299.705,0,0
5.54e-07,9.35e-07,4.84e-07,5.54e-07,3.78091,3.54113,3.98909,300.088,299.75,0,0
5.2e-07,1.158e-06,6.37e-07,5.2e-07,4.49058,4.91825,4.04634,300.391,300.012,0,0
4.67e-07,1.9088e-05,4.69e-07,4.67e-07,4.78708,4.66964,3.66247,299.58,299.469,0,0
5.41e-07,1.9051e-05,5.63e-07,5.41e-07,3.67046,4.57577,3.93243,299.726,300.473,0,0
5.97e-07,1.429e-06,8.18e-07,5.97e-07,3.64912,3.55548,3.69266,299.95,299.982,0,0
5.25e-07,1.9625e-05,2.1164e-05,5.25e-07,3.76521,4.94996,3.7054,300.022,298.945,0,0
4.48e-07,1.9219e-05,5.87e-07,4.48e-07,4.25873,4.68726,3.93312,299.867,299.483,0,0
5.69e-07,1.012e-06,6.15e-07,5.69e-07,4.32584,4.03435,3.78328,300.22,300.024,0,0
4.07e-07,1.9036e-05,4.92e-07,4.07e-07,4.15187,3.80326,3.54775,300.233,300.045,0,0
4.33e-07,1.751e-06,1.3034e-05,4.33e-07,4.19436,3.9348,3.9262,299.997,299.786,0,0
5.44e-07,1.9174e-05,6.35e-07,5.44e-07,3.62134,3.77112,4.08738,299.945,299.696,0,0
4.82e-07,1.527e-06,5.18e-07,4.82e-07,3.86302,3.90583,3.83493,299.989,299.956,0,0
3.95e-07,1.9043e-05,5.59e-07,3.95e-07,3.63105,4.92137,4.61783,300.145,300.959,0,0
4.06e-07,1.9335e-05,6.38e-07,4.06e-07,3.78493,4.55873,3.65473,299.952,299.306,0,0
4.62e-07,1.9041e-05,6.03e-07,4.62e-07,3.86051,3.54297,3.5719,299.99,299.775,0,0
5.55e-07,1.16e-06,8.15e-07,5.55e-07,3.78884,3.50074,3.67067,299.895,299.983,0,0
4.01e-07,9.83e-07,5.32e-07,4.01e-07,4.80255,4.2825,4.39106,300.047,299.575,0,0
4.52e-07,1.062e-06,5.78e-07,4.52e-07,4.13623,4.85656,3.72631,299.515,300.163,0,0
4.28e-07,2.2407e-05,5.01e-07,4.28e-07,3.90343,3.9698,3.93102,300.026,300.005,0,0
4.73e-07,1.947e-06,6.04e-07,4.73e-07,3.95528,4.09205,4.88133,299.591,300.299,0,0
5.75e-07,1.32e-06,6.63e-07,5.75e-07,4.38078,3.5621,4.06079,299.865,300.515,0,0
4.73e-07,1.9046e-05,5.63e-07,4.73e-07,3.56734,4.451,4.49605,300.02,300.729,0,0
4.03e-07,1.946e-05,5.86e-07,4.03e-07,4.45275,3.57164,3.64891,299.674,300.381,0,0
4.56e-07,7.78e-07,6.25e-07,4.56e-07,4.3066,4.03799,4.58222,299.888,299.643,0,0
5.31e-07,1.9258e-05,5.94e-07,5.31e-07,3.56456,4.57327,4.97414,299.59,299.207,0,0
6.64e-07,9.68e-07,6.12e-07,6.64e-07,3.57888,4.25033,4.27889,300.275,299.749,0,0
