Tempo Trilateração (s);Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Tempo distancia 3(s),Tempo distancia 4(s),Tempo distancia 5(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Distancia nó 3(m),Distancia nó 4(m),Distancia nó 5(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
5.32e-07,1.306e-06,8.87e-07,6.02e-07,5.2e-07,5.04e-07,5.32e-07,0.992802,0.995707,0.988206,0.989629,0.996433,0.989026,300,300.001,0,0
4.76e-07,1.729e-06,5.38e-07,5.79e-07,7.48e-07,4.95e-07,4.76e-07,0.985614,0.991652,0.99463,0.988384,0.986901,0.994916,299.999,299.995,0,0
4.81e-07,1.9256e-05,4.91e-07,4.99e-07,4.48e-07,3.91e-07,4.81e-07,0.990676,0.988363,0.985638,0.982808,0.989001,0.982926,300.001,299.996,0,0
4.36e-07,1.9172e-05,6.52e-07,4.64e-07,3.36e-07,4.8e-07,4.36e-07,0.998257,0.989104,0.985479,0.989098,0.991201,0.987037,300.001,300.004,0,0
4.03e-07,1.9187e-05,5.04e-07,4.37e-07,1.339e-06,4.03e-07,4.03e-07,0.9807,0.987273,0.995307,0.994622,0.983615,0.988621,300.001,299.995,0,0
3.94e-07,1.9264e-05,5.53e-07,5.17e-07,6.76e-07,4.52e-07,3.94e-07,0.993585,0.996701,0.985756,0.980227,0.982418,0.981106,299.999,300.004,0,0
3.79e-07,1.9121e-05,3.98e-06,4.69e-07,4.44e-07,4.82e-07,3.79e-07,0.981679,0.98984,0.987255,0.991963,0.997173,0.984953,299.997,299.995,0,0
4.11e-07,1.9335e-05,4.74e-07,4.13e-07,5.13e-07,4.47e-07,4.11e-07,0.992306,0.998041,0.984191,0.987067,0.990342,0.994497,300.002,300.002,0,0
4.87e-07,1.9088e-05,5.09e-07,4.65e-07,4.86e-07,4.96e-07,4.87e-07,0.987246,0.997877,0.998311,0.985595,0.983093,0.980071,299.994,300.006,0,0
4.83e-07,1.9322e-05,5.06e-07,5.77e-07,4.77e-07,4.15e-07,4.83e-07,0.990597,0.983649,0.98269,0.990926,0.997678,0.996549,300.004,299.996,0,0
4.33e-07,1.76e-06,6.12e-07,4.02e-07,4.66e-07,4.38e-07,4.33e-07,0.995337,0.980818,0.996453,0.985604,0.990238,0.981135,299.998,299.992,0,0
3.86e-07,1.129e-06,4.77e-07,3.84e-07,7.58e-07,5.05e-07,3.86e-07,0.983786,0.995361,0.989609,0.988043,0.981167,0.986498,299.999,300.001,0,0
3.69e-07,1.523e-06,6.16e-07,4.11e-07,4.01e-07,3.43e-07,3.69e-07,0.987815,0.995533,0.990365,0.995822,0.982222,0.995013,299.997,300.004,0,0
4.57e-07,1.9244e-05,4.56e-07,4.43e-07,3.35e-07,3.99e-07,4.57e-07,0.988964,0.990425,0.998767,0.990451,0.996658,0.989814,300.001,300.002,0,0
2.0923e-05,1.8869e-05,4.88e-07,3.9e-07,4.51e-07,3.86e-07,2.0923e-05,0.988191,0.997273,0.995849,0.983005,0.988966,0.985415,299.994,299.998,0,0
3.89e-07,1.9274e-05,4.65e-07,6.99e-07,4.35e-07,3.8e-07,3.89e-07,0.990958,0.999142,0.996553,0.984358,0.982347,0.994494,300.006,300.002,0,0
3.64e-07,1.227e-06,4.69e-07,3.65e-07,3.66e-07,3.87e-07,3.64e-07,0.987072,0.986265,0.99067,0.9967,0.982522,0.989432,299.998,299.999,0,0
4.35e-07,1.539e-06,5.45e-07,4.04e-07,4.78e-07,4.04e-07,4.35e-07,0.99663,0.997736,0.991702,0.986888,0.982702,0.981971,299.999,300.005,0,0
3.8e-07,1.9385e-05,4.91e-07,4.21e-07,3.34e-07,3.94e-07,3.8e-07,0.999763,0.98653,0.9986,0.997444,0.980337,0.995274,299.998,300.004,0,0
4.35e-07,1.9562e-05,5.09e-07,3.84e-07,3.59e-07,4.46e-07,4.35e-07,0.980031,0.98806,0.985546,0.991402,0.989774,0.980351,299.997,299.996,0,0
4.54e-07,1.367e-06,6.21e-07,4.49e-07,4.69e-07,4.96e-07,4.54e-07,0.98855,0.989591,0.988739,0.984989,0.986464,0.98302,299.999,299.997,0,0
3.33e-07,2.021e-06,5.37e-07,6.43e-07,4.9e-07,3.9e-07,3.33e-07,0.98503,0.986298,0.998129,0.983582,0.984666,0.997261,299.993,300.004,0,0
4.94e-07,1.9369e-05,5.93e-07,4.17e-07,4.03e-07,3.69e-07,4.94e-07,0.998872,0.98062,0.986434,0.982665,0.986491,0.984249,300.002,299.995,0,0
4.16e-07,9.11e-07,4.9e-07,4.49e-07,4.52e-07,4.15e-07,4.16e-07,0.988452,0.998158,0.994388,0.995438,0.989591,0.999224,300,299.995,0,0
3.7e-07,1.9076e-05,7.28e-07,3.49e-07,3.57e-07,3.7e-07,3.7e-07,0.991435,0.988848,0.988885,0.998808,0.991331,0.981063,299.999,299.992,0,0
