Tempo Trilateração (s),Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Tempo distancia 3(s),Tempo distancia 4(s),Tempo distancia 5(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Distancia nó 3(m),Distancia nó 4(m),Distancia nó 5(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
4.4481e-05,9.78e-07,3.62e-07,4.77e-07,4.7e-07,9.21e-07,4.39e-07,8.64792,6.08672,4.8408,7.03779,5.25999,7.32409,298.959,300.04,0,0
4.3347e-05,1.9142e-05,4.9e-07,4.16e-07,3.94e-07,4.63e-07,4.04e-07,6.15703,6.72529,4.96804,6.44274,5.21611,5.25811,300.275,299.809,0,0
4.4182e-05,1.966e-05,5.79e-07,4.27e-07,4.53e-07,3.56e-07,4.49e-07,7.03175,8.28112,4.88669,5.62984,4.43144,5.25895,299.814,300.163,0,0
4.4597e-05,1.9359e-05,4.72e-07,4.58e-07,4.48e-07,4.85e-07,4.5e-07,9.39689,4.63434,7.03084,5.50496,4.55746,5.50181,299.246,300.266,0,0
4.4339e-05,1.9179e-05,5.1e-07,4.98e-07,5.74e-07,5.96e-07,4.57e-07,5.81431,7.53374,4.49001,4.76494,5.62334,4.64124,299.563,299.38,0,0
4.3079e-05,1.119e-06,9.01e-07,5.91e-07,4.81e-07,3.71e-07,3.64e-07,4.47401,4.50615,5.26677,6.38519,4.94808,6.43135,300.502,299.658,0,0
4.7035e-05,1.354e-06,6.41e-07,5.27e-07,5.55e-07,1.009e-06,5.75e-07,5.57772,6.85792,4.99098,4.79843,4.64253,8.76859,301.242,301.182,0,0
4.5302e-05,1.9594e-05,5.82e-07,5.88e-07,6.32e-07,4.61e-07,7.14e-07,5.55885,6.99347,4.62001,5.20302,7.59237,4.60048,299.688,299.822,0,0
4.6078e-05,1.001e-06,5.46e-07,5.37e-07,4.47e-07,4.56e-07,4.26e-07,8.65645,5.74486,4.55854,8.72237,5.3546,6.96321,301.12,300.867,0,0
4.4953e-05,9.58e-07,6.02e-07,1.3557e-05,5.2e-07,4.21e-07,5.42e-07,4.83518,5.1613,6.1971,8.50725,6.73621,5.50903,300.824,300.189,0,0
4.4221e-05,1.9138e-05,5.11e-07,5.09e-07,5.93e-07,4.5e-07,4.57e-07,4.87741,4.51113,4.58263,5.99725,6.97926,9.89574,298.738,298.101,0,0
4.3037e-05,1.9145e-05,6.14e-07,4.82e-07,3.9e-07,3.92e-07,4.17e-07,5.80887,7.69142,4.76997,8.97891,7.65249,4.53379,298.386,300.391,0,0
4.4794e-05,1.8999e-05,5.48e-07,4.92e-07,4.86e-07,5.31e-07,4.92e-07,4.92602,4.9069,4.69892,6.59806,5.65818,5.61863,300.268,299.84,0,0
4.375e-05,1.061e-06,6.13e-07,4.03e-07,4.87e-07,4.17e-07,5.01e-07,9.88846,6.50373,5.13814,4.49594,6.58379,5.94638,299.372,300.563,0,0
4.3578e-05,1.9649e-05,6.78e-07,5.24e-07,5.72e-07,5.05e-07,4.76e-07,5.06726,6.03534,5.41544,4.60352,5.79824,6.24034,299.868,299.618,0,0
4.3767e-05,1.14e-06,4.69e-07,5.44e-07,3.98e-07,4.32e-07,3.9e-07,9.0983,6.75465,8.15784,4.93355,5.50271,5.07377,299.613,299.356,0,0
4.4006e-05,1.248e-06,5.56e-07,4.39e-07,4.5e-07,2.196e-06,4.46e-07,4.90385,5.91685,4.45844,5.24564,5.87513,4.53132,300.078,299.769,0,0
4.3578e-05,1.916e-05,4.42e-07,3.9e-07,4.42e-07,5.26e-07,4.21e-07,5.52636,5.57692,8.37895,5.1774,4.99793,4.55098,300.367,299.401,0,0
4.3667e-05,9.87e-07,5.39e-07,5.33e-07,4.31e-07,5.18e-07,4.97e-07,4.65733,6.56197,6.48466,8.74438,5.65154,8.27635,299.329,300.63,0,0
4.3381e-05,1.889e-05,6.47e-07,2.0419e-05,4.7e-07,4.66e-07,4.81e-07,6.94102,5.38072,6.18724,5.5489,9.24788,8.6587,298.935,299.503,0,0
4.3067e-05,1.9033e-05,5.42e-07,6.14e-07,4.93e-07,5.01e-07,4.13e-07,6.64211,8.44965,5.62888,4.50299,4.9175,5.41498,300.178,299.442,0,0
4.3265e-05,1.8868e-05,5.82e-07,4.08e-07,3.9e-07,5.24e-07,2.518e-06,4.83427,4.72179,5.1168,4.40437,5.66464,6.42838,299.637,299.598,0,0
4.4012e-05,1.9141e-05,5.43e-07,4.79e-07,4.3e-07,3.76e-07,4.48e-07,4.52086,7.43805,4.44329,5.97655,5.65347,4.91244,300.026,299.499,0,0
